"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Aruba","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Australia","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","83","1"
"Australia","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","82","1"
"Australia","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","81","1"
"Australia","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","79","1"
"Australia","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","78","1"
"Australia","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","76","1"
"Australia","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75","1"
"Australia","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","73","1"
"Austria","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","82",""
"Austria","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","81",""
"Austria","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","79",""
"Austria","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","78",""
"Austria","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Austria","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Austria","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Austria","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Azerbaijan","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Azerbaijan","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Azerbaijan","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Azerbaijan","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Azerbaijan","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","63",""
"Azerbaijan","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","63",""
"Azerbaijan","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Azerbaijan","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Bahamas","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Bahamas","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Bahamas","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Bahamas","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Bahamas","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Bahamas","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","65",""
"Bahamas","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","66",""
"Bahamas","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","66",""
"Bahrain","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Bahrain","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Bahrain","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Bahrain","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Bahrain","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Bahrain","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Bahrain","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Bahrain","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Bangladesh","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","63",""
"Bangladesh","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","60",""
"Bangladesh","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","57",""
"Bangladesh","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Bangladesh","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","61",""
"Bangladesh","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","59",""
"Bangladesh","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","55",""
"Bangladesh","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Barbados","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","79",""
"Barbados","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","78",""
"Barbados","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Barbados","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Barbados","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Barbados","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Barbados","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Barbados","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Belarus","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Belarus","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Belarus","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Belarus","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Belarus","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","63",""
"Belarus","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Belarus","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","64",""
"Belarus","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Belgium","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","81",""
"Belgium","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","81",""
"Belgium","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","80",""
"Belgium","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","79",""
"Belgium","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Belgium","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Belgium","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Belgium","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Belize","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","79",""
"Belize","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Belize","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Belize","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Belize","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Belize","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Belize","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Belize","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Benin","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","56",""
"Benin","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","56",""
"Benin","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","55",""
"Benin","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","54",""
"Benin","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Benin","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Benin","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Benin","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","51",""
"Bhutan","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","65",""
"Bhutan","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","61",""
"Bhutan","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","56",""
"Bhutan","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","52",""
"Bhutan","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Bhutan","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","57",""
"Bhutan","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Bhutan","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Bolivia","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","66",""
"Bolivia","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","64",""
"Bolivia","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Bolivia","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","59",""
"Bolivia","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Bolivia","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","60",""
"Bolivia","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","58",""
"Bolivia","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","56",""
"Bosnia and Herzegovina","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Bosnia and Herzegovina","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Bosnia and Herzegovina","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Bosnia and Herzegovina","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Bosnia and Herzegovina","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Bosnia and Herzegovina","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Bosnia and Herzegovina","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Bosnia and Herzegovina","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Botswana","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","47",""
"Botswana","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","55",""
"Botswana","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","65",""
"Botswana","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","66",""
"Botswana","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","46",""
"Botswana","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","50",""
"Botswana","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","60",""
"Botswana","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","61",""
"Brazil","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Brazil","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Brazil","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Brazil","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Brazil","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Brazil","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","66",""
"Brazil","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","64",""
"Brazil","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Brunei","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","79",""
"Brunei","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","78",""
"Brunei","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Brunei","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Brunei","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Brunei","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Brunei","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Brunei","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Bulgaria","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Bulgaria","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Bulgaria","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Bulgaria","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Bulgaria","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Bulgaria","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Bulgaria","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Bulgaria","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Burkina Faso","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","52",""
"Burkina Faso","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","52",""
"Burkina Faso","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","52",""
"Burkina Faso","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","51",""
"Burkina Faso","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Burkina Faso","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","48",""
"Burkina Faso","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Burkina Faso","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","48",""
"Burundi","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Burundi","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","47",""
"Burundi","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","47",""
"Burundi","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","50",""
"Burundi","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","46",""
"Burundi","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","44",""
"Burundi","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","43",""
"Burundi","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","46",""
"Cambodia","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","60",""
"Cambodia","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","58",""
"Cambodia","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","57",""
"Cambodia","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","56",""
"Cambodia","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","54",""
"Cambodia","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","54",""
"Cambodia","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","54",""
"Cambodia","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","52",""
"Cameroon","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","50",""
"Cameroon","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Cameroon","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","56",""
"Cameroon","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","57",""
"Cameroon","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Cameroon","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","51",""
"Cameroon","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Cameroon","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Canada","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","82",""
"Canada","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","81",""
"Canada","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","81",""
"Canada","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","80",""
"Canada","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Canada","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Canada","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Canada","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Cape Verde","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Cape Verde","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Cape Verde","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Cape Verde","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Cape Verde","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Cape Verde","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","66",""
"Cape Verde","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","64",""
"Cape Verde","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","62",""
"Central African Republic","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","45",""
"Central African Republic","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Central African Republic","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","52",""
"Central African Republic","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Central African Republic","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Central African Republic","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","44",""
"Central African Republic","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","47",""
"Central African Republic","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","48",""
"Chad","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","52",""
"Chad","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Chad","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Chad","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","53",""
"Chad","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Chad","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","50",""
"Chad","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","50",""
"Chad","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","49",""
"Channel Islands","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","81","2"
"Channel Islands","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","80","2"
"Channel Islands","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","79","2"
"Channel Islands","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","78","2"
"Channel Islands","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","76","2"
"Channel Islands","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","75","2"
"Channel Islands","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","74","2"
"Channel Islands","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","73","2"
"Chile","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","81",""
"Chile","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","79",""
"Chile","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Chile","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Chile","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Chile","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Chile","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Chile","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"China","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","74","3"
"China","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","72","3"
"China","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","70","3"
"China","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","69","3"
"China","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","70","3"
"China","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","69","3"
"China","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","67","3"
"China","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","66","3"
"Colombia","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Colombia","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Colombia","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Colombia","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Colombia","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Colombia","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Colombia","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","65",""
"Colombia","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","64",""
"Comoros","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","65","4"
"Comoros","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","63","4"
"Comoros","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","60","4"
"Comoros","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","57","4"
"Comoros","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","61","4"
"Comoros","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","59","4"
"Comoros","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","56","4"
"Comoros","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","53","4"
"Congo","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","54",""
